0 0 0.000000
0 1 4555.749204
0 2 2784.060689
0 3 2465.803225
0 4 2716.416985
0 5 2880.300027
0 6 2995.185454
0 7 3114.513301
0 8 3237.913325
0 9 3361.161841
0 10 3484.082579
0 11 3606.999313
0 12 3729.941657
0 13 3852.885581
0 14 3975.827590
0 15 4098.769405
0 16 4221.711386
0 17 4344.653415
0 18 4467.595457
0 19 4590.537520
0 20 4713.479607
0 21 4836.421716
0 22 4959.363846
0 23 5082.305997
0 24 5205.248166
0 25 5328.190354
0 26 5451.132560
0 27 5574.074782
0 28 5697.017019
0 29 5819.959270
0 30 5942.901535
0 31 6065.843812
0 32 6188.786101
0 33 6311.728401
0 34 6434.670712
0 35 6557.613032
0 36 6680.555360
0 37 6803.497697
0 38 6926.440042
0 39 7049.382394
0 40 7172.324752
0 41 7295.267117
0 42 7418.209487
0 43 7541.151862
0 44 7664.094243
0 45 7787.036627
0 46 7909.979016
0 47 8032.921409
0 48 8155.863805
0 49 8278.806204
0 50 8401.748607
0 51 8524.691012
0 52 8647.633419
0 53 8770.575828
0 54 8893.518240
0 55 9016.460653
0 56 9139.403067
0 57 9262.345483
0 58 9385.287900
0 59 9508.230318
0 60 9631.172736
0 61 9754.115155
0 62 9877.057574
0 63 10000.000000
1 0 0.000000
1 1 4555.749204
1 2 2784.060689
1 3 2465.803225
1 4 2716.416985
1 5 2880.300027
1 6 2995.185454
1 7 3114.513301
1 8 3237.913325
1 9 3361.161841
1 10 3484.082579
1 11 3606.999313
1 12 3729.941657
1 13 3852.885581
1 14 3975.827590
1 15 4098.769405
1 16 4221.711386
1 17 4344.653415
1 18 4467.595457
1 19 4590.537520
1 20 4713.479607
1 21 4836.421716
1 22 4959.363846
1 23 5082.305997
1 24 5205.248166
1 25 5328.190354
1 26 5451.132560
1 27 5574.074782
1 28 5697.017019
1 29 5819.959270
1 30 5942.901535
1 31 6065.843812
1 32 6188.786101
1 33 6311.728401
1 34 6434.670712
1 35 6557.613032
1 36 6680.555360
1 37 6803.497697
1 38 6926.440042
1 39 7049.382394
1 40 7172.324752
1 41 7295.267117
1 42 7418.209487
1 43 7541.151862
1 44 7664.094243
1 45 7787.036627
1 46 7909.979016
1 47 8032.921409
1 48 8155.863805
1 49 8278.806204
1 50 8401.748607
1 51 8524.691012
1 52 8647.633419
1 53 8770.575828
1 54 8893.518240
1 55 9016.460653
1 56 9139.403067
1 57 9262.345483
1 58 9385.287900
1 59 9508.230318
1 60 9631.172736
1 61 9754.115155
1 62 9877.057574
1 63 10000.000000
2 0 0.000000
2 1 4555.744585
2 2 2784.059488
2 3 2465.802346
2 4 2716.416039
2 5 2880.299130
2 6 2995.184626
2 7 3114.512537
2 8 3237.912624
2 9 3361.161202
2 10 3484.082000
2 11 3606.998790
2 12 3729.941188
2 13 3852.885162
2 14 3975.827217
2 15 4098.769074
2 16 4221.711093
2 17 4344.653156
2 18 4467.595229
2 19 4590.537320
2 20 4713.479431
2 21 4836.421562
2 22 4959.363711
2 23 5082.305878
2 24 5205.248062
2 25 5328.190263
2 26 5451.132479
2 27 5574.074710
2 28 5697.016955
2 29 5819.959214
2 30 5942.901485
2 31 6065.843768
2 32 6188.786062
2 33 6311.728366
2 34 6434.670680
2 35 6557.613003
2 36 6680.555334
2 37 6803.497674
2 38 6926.440021
2 39 7049.382374
2 40 7172.324735
2 41 7295.267101
2 42 7418.209472
2 43 7541.151849
2 44 7664.094230
2 45 7787.036616
2 46 7909.979006
2 47 8032.921400
2 48 8155.863797
2 49 8278.806197
2 50 8401.748600
2 51 8524.691006
2 52 8647.633414
2 53 8770.575824
2 54 8893.518235
2 55 9016.460649
2 56 9139.403064
2 57 9262.345480
2 58 9385.287898
2 59 9508.230316
2 60 9631.172735
2 61 9754.115154
2 62 9877.057574
2 63 10000.000000
3 0 0.000000
3 1 4555.740028
3 2 2784.058269
3 3 2465.801442
3 4 2716.415056
3 5 2880.298189
3 6 2995.183747
3 7 3114.511716
3 8 3237.911861
3 9 3361.160496
3 10 3484.081350
3 11 3606.998194
3 12 3729.940643
3 13 3852.884666
3 14 3975.826766
3 15 4098.768666
3 16 4221.710725
3 17 4344.652824
3 18 4467.594930
3 19 4590.537051
3 20 4713.479190
3 21 4836.421345
3 22 4959.363517
3 23 5082.305704
3 24 5205.247906
3 25 5328.190123
3 26 5451.132353
3 27 5574.074597
3 28 5697.016854
3 29 5819.959122
3 30 5942.901402
3 31 6065.843693
3 32 6188.785994
3 33 6311.728305
3 34 6434.670625
3 35 6557.612953
3 36 6680.555289
3 37 6803.497632
3 38 6926.439983
3 39 7049.382340
3 40 7172.324703
3 41 7295.267072
3 42 7418.209446
3 43 7541.151825
3 44 7664.094209
3 45 7787.036597
3 46 7909.978988
3 47 8032.921384
3 48 8155.863782
3 49 8278.806184
3 50 8401.748588
3 51 8524.690995
3 52 8647.633404
3 53 8770.575815
3 54 8893.518228
3 55 9016.460643
3 56 9139.403059
3 57 9262.345476
3 58 9385.287894
3 59 9508.230313
3 60 9631.172733
3 61 9754.115153
3 62 9877.057573
3 63 10000.000000
4 0 0.000000
4 1 4555.735790
4 2 2784.057177
4 3 2465.800626
4 4 2716.414159
4 5 2880.297324
4 6 2995.182932
4 7 3114.510949
4 8 3237.911142
4 9 3361.159825
4 10 3484.080725
4 11 3606.997615
4 12 3729.940108
4 13 3852.884173
4 14 3975.826313
4 15 4098.768250
4 16 4221.710344
4 17 4344.652476
4 18 4467.594612
4 19 4590.536761
4 20 4713.478926
4 21 4836.421104
4 22 4959.363297
4 23 5082.305504
